"Active Licenses","Permit Number","BAN","Permit Status","POE Class Code","License Type","DBA Name","Street Address","City","State","Point","analysis_neighborhood","supervisor_district","police_district","data_as_of","data_loaded_at"
"BP","1274","0488949","Active",,,"Harper & Rye","1695 POLK ST","San Francisco","CA","POINT (-122.421074218 37.792264167)","Nob Hill","3","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"MAD","1275","0487330","Active",,,"The Detour","2200 MARKET ST","San Francisco","CA","POINT (-122.431153596 37.765856284)","Castro/Upper Market","8","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1279","0469138","Active",,,"Proxy","432 OCTAVIA ST","San Francisco","CA","POINT (-122.424246 37.776402)","Hayes Valley","5","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE, EHP","1281","1004380","Active","P23","Place of Entertainment","Oasis","298 11TH ST","San Francisco","CA","POINT (-122.4144 37.771893)","Mission","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1288","0373771","Active","P23","Place of Entertainment","Mochica","1469 18TH ST","San Francisco","CA","POINT (-122.397174 37.762353)","Potrero Hill","10","BAYVIEW","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1289","0955047","Active",,,"Whole Foods","1150 OCEAN AVE","San Francisco","CA","POINT (-122.45463 37.723779)","West of Twin Peaks","7","INGLESIDE","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE, BP","129","0164019","Active","P23","Place of Entertainment","Eve Nightclub","1535 FOLSOM ST","San Francisco","CA","POINT (-122.414328 37.771407)","Mission","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"BP","1290","0478170","Active",,,"The Mad Dog In the Fog","530 HAIGHT ST","San Francisco","CA","POINT (-122.4310185 37.772154)","Hayes Valley","5","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"EHP","1292","0911744","Active",,,"Starbucks Store#6605","2727 MARIPOSA ST","San Francisco","CA","POINT (-122.41056139 37.762989917)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1293","1009292","Active","P23","Place of Entertainment","Fish & Farm","424 CLAY ST","San Francisco","CA","POINT (-122.40072 37.795095)","Chinatown","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"MAD","1295","0305495","Active",,,"Li Po Cocktail Lounge","916 GRANT AVE","San Francisco","CA","POINT (-122.40649583 37.795357022)","Chinatown","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"BP","1296","0320414","Active",,,"The Outsider","894 GEARY ST","San Francisco","CA","POINT (-122.417938634 37.786152098)","Tenderloin","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"EHP","1297","0102058","Active",,,"Yuet Lee","1300 STOCKTON ST","San Francisco","CA","POINT (-122.408615041 37.797726041)","Chinatown","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1298","0185512","Active","P23","Place of Entertainment","VERDI CLUB","2424 MARIPOSA ST","San Francisco","CA","POINT (-122.4079425 37.763397)","Mission","9","MISSION","2025/03/28 03:06:35 PM","2025/10/10 08:05:31 AM"
"POE","1299","1063657","Active","P23","Place of Entertainment","UNITED IRISH CULTURAL CENTER","2700 45TH AVE","San Francisco","CA","POINT (-122.502807 37.735974)","Sunset/Parkside","4","TARAVAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1300","0395887","Active","P23","Place of Entertainment","Palace Hotel","2 NEW MONTGOMERY ST","San Francisco","CA","POINT (-122.402023735 37.788639884)","Financial District/South Beach","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1301","0451379","Active","P23","Place of Entertainment","Sailor's Union of The Pacific","450 HARRISON ST","San Francisco","CA","POINT (-122.392539089 37.786432149)","Financial District/South Beach","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1302","0171173","Active",,,"Ryoko's Japanese Restaurant","619 TAYLOR ST","San Francisco","CA","POINT (-122.411785107 37.788081145)","Nob Hill","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1303","0013301","Active",,,"Chancellor Hotel","433 POWELL ST","San Francisco","CA","POINT (-122.408518294 37.788629087)","Nob Hill","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1304","0345442","Active",,,"Players Sports Bar & Arcade","39 PIER","San Francisco","CA","POINT (-122.396222304 37.795040654)","Financial District/South Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1305","0358273","Active","P23","Place of Entertainment","Devil's Acre","256 COLUMBUS AVE","San Francisco","CA","POINT (-122.406347684 37.797670584)","North Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1306","1010655","Active","P23","Place of Entertainment","The Fillmore","1805 GEARY BLVD","San Francisco","CA","POINT (-122.431395537 37.78436395)","Western Addition","5","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1307","0480178","Active",,,"Applebee's","2770 TAYLOR ST","San Francisco","CA","POINT (-122.4154755 37.807974)","North Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"EHP","1309","0430380","Active",,,"Orphan Andy's","3991 17TH ST","San Francisco","CA","POINT (-122.4348795 37.762281)","Castro/Upper Market","8","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1312","0370778","Active","P23","Place of Entertainment","A.C.T. Strand","1127 MARKET ST","San Francisco","CA","POINT (-122.4129015 37.779642)","South of Market","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1313","0442473","Active","P23","Place of Entertainment","Gray Area","2665 MISSION ST","San Francisco","CA","POINT (-122.418306 37.754406)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1315","0171578","Active",,,"Bix","56 GOLD ST","San Francisco","CA","POINT (-122.4029205 37.796868)","Chinatown","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1316","0454625","Active",,,"The Royal Cuckoo","3202 MISSION ST","San Francisco","CA","POINT (-122.42013186 37.745304929)","Bernal Heights","9","INGLESIDE","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1321","1012323","Active","P23","Place of Entertainment","Mr. Tipple's/Cadence","39 FELL ST","San Francisco","CA","POINT (-122.4185895 37.776177)","Tenderloin","6","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1322","1003427","Active",,,"Little Boxes Theater","1661 TENNESSEE ST","San Francisco","CA","POINT (-122.388535471 37.750736659)","Bayview Hunters Point","10","BAYVIEW","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"BP","1324","1003489","Active",,,"Grandma's Saloon","1016 TARAVAL ST","San Francisco","CA","POINT (-122.477032465 37.743026255)","Sunset/Parkside","4","TARAVAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1325","0381160","Active",,,"MARS BAR & RESTAURANT","798 BRANNAN ST","San Francisco","CA","POINT (-122.4031725 37.773261)","South of Market","6","SOUTHERN","2025/03/28 03:06:35 PM","2025/10/10 08:05:31 AM"
"POE","1326","1005242","Active","P23","Place of Entertainment","The Lab","2948 16TH ST","San Francisco","CA","POINT (-122.418459 37.765296)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1328","0490109","Active",,,"Puccini& Pinetti","129 ELLIS ST","San Francisco","CA","POINT (-122.40837 37.785195)","Tenderloin","3","TENDERLOIN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
